Type,Group,Maker/Brand,Jan.,Feb.,Mar.,Apr.,May,Jun.,First Half(Jan.-Jun.),Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Second Half(Jul.-Dec.,Adjusted value,Total
,,Mitsubishi Total,-,-,-,-,1,0,1,0,0,0,0,0,0,0,0,1
,Isuzu,Isuzu,664,946,"1,485",591,699,888,"5,273",858,870,881,369,301,274,"3,553",0,"8,826"
,,UD Trucks (2021-),11,5,9,5,7,5,42,3,3,18,8,9,7,48,0,90
,,Isuzu Total,675,951,"1,494",596,706,893,"5,315",861,873,899,377,310,281,"3,601",0,"8,916"
,,Light Trucks Total,"17,054","20,811","30,834","16,735","16,144","21,284","122,862","21,027","17,582","20,284","15,027","18,686","15,825","108,431",0,"231,293"
Trucks,VW Group,VW,-,-,-,1,0,0,1,0,0,1,0,0,0,1,0,2
,,Scania (TRATON),15,30,44,18,25,25,157,27,18,24,22,27,33,151,0,308
,,VW Group Total,15,30,44,19,25,25,158,27,18,25,22,27,33,152,0,310
,Toyota Group,Toyota,"1,996","2,264","3,381","2,151","1,999","2,137","13,928","1,991","1,723","1,923","1,608","1,885","1,701","10,831",0,"24,759"
,,Hino,"3,261","4,117","6,470","2,932","3,332","4,483","24,595","3,878","4,043","4,732","3,538","3,924","3,616","23,731",0,"48,326"
,,Toyota Group Total,"5,257","6,381","9,851","5,083","5,331","6,620","38,523","5,869","5,766","6,655","5,146","5,809","5,317","34,562",0,"73,085"
,Renault-Nissan Alliance,Nissan,215,368,606,191,106,184,"1,670",206,207,144,126,235,210,"1,128",0,"2,798"
,,Renault-Nissan Alliance Total,215,368,606,191,106,184,"1,670",206,207,144,126,235,210,"1,128",0,"2,798"
,Stellantis,Jeep (2021-),3,1,1,3,2,0,10,2,5,0,3,2,1,13,0,23
,,Dodge (2021-),-,2,2,0,0,1,5,0,0,0,1,1,0,2,0,7
,,Chrysler (2021-),-,-,-,-,-,-,-,-,-,1,0,0,0,1,0,1
,,Citroen (2021-),-,-,-,1,1,0,2,0,0,0,0,0,0,0,0,2
,,Stellantis Total,3,3,3,4,3,1,17,2,5,1,4,3,1,16,0,33
,GM Group,Chevrolet,2,3,6,10,7,16,44,8,12,11,11,11,8,61,0,105
,,GMC,1,3,9,8,6,2,29,9,3,2,2,6,2,24,0,53
,,Cadillac,-,-,4,3,0,1,8,2,1,2,0,1,0,6,0,14
,,Hummer,-,-,-,-,-,-,-,1,0,0,0,0,0,1,0,1
,,GM Group Total,3,6,19,21,13,19,81,20,16,15,13,18,10,92,0,173
,Ford Group,Ford,4,11,18,10,8,8,59,13,12,10,9,6,13,63,0,122
,,Ford Group Total,4,11,18,10,8,8,59,13,12,10,9,6,13,63,0,122
,Daimler Group (-2021),Mercedes-Benz (-2021),4,4,4,1,1,3,17,1,4,2,1,2,7,17,0,34
,,Mitsubishi Fuso (2004-21),916,"1,247","2,166","1,264","1,254","1,792","8,639","1,416","1,445","1,464","1,306","1,142","1,137","7,910",0,"16,549"
,,Daimler Group (-2021) Total,920,"1,251","2,170","1,265","1,255","1,795","8,656","1,417","1,449","1,466","1,307","1,144","1,144","7,927",0,"16,583"
,Mazda,Mazda,23,30,37,26,20,37,173,31,31,32,21,34,26,175,0,348
,,Mazda Total,23,30,37,26,20,37,173,31,31,32,21,34,26,175,0,348
,Mitsubishi,Mitsubishi,-,-,2,0,0,0,2,0,0,0,0,0,0,0,0,2
,,Mitsubishi Total,-,-,2,0,0,0,2,0,0,0,0,0,0,0,0,2
,Tata Group,Land Rover (2008-),2,1,1,0,0,2,6,2,0,0,1,1,1,5,0,11
,,Tata Group Total,2,1,1,0,0,2,6,2,0,0,1,1,1,5,0,11
