"name","group__name","group__brand__name","group__brand__sales__001","group__brand__sales__002","group__brand__sales__003","group__brand__sales__004","group__brand__sales__005","group__brand__sales__006","group__brand__sales__007","group__brand__sales__008","group__brand__sales__009","group__brand__sales__010","group__brand__sales__011","group__brand__sales__012","group__brand__sales__013","group__brand__sales__014","group__brand__sales__015","group__brand__sales__016"
"","Subaru","Subaru","254","348","538","333","302","356","2131","403","331","369","283","211","95","1692","0","3823"
"","Small and Medium OEM","Other","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1"
"Mini Trucks","Toyota Group","Toyota","320","401","466","745","642","400","2974","357","513","513","293","507","147","2330","0","5304"
"","","Daihatsu","6317","6836","9013","7050","6487","7764","43467","7826","5305","7233","4821","5925","4366","35476","0","78943"
"","Renault-Nissan Alliance","Nissan","756","795","950","641","665","575","4382","646","521","694","372","623","521","3377","0","7759"
"","Honda","Honda","2189","2425","3335","1960","1348","1033","12290","652","425","394","294","223","169","2157","0","14447"
"","Suzuki","Suzuki","4485","5253","6934","4763","4272","3132","28839","4213","3090","1791","1872","3543","5924","20433","0","49272"
"","Mazda","Mazda","155","215","287","152","159","138","1106","148","112","76","61","173","149","719","0","1825"
"","Mitsubishi","Mitsubishi","272","335","467","197","271","299","1841","327","198","203","116","155","209","1208","0","3049"
"","Subaru","Subaru","343","444","445","315","400","433","2380","456","358","474","191","300","112","1891","0","4271"
"","Small and Medium OEM","Other","0","0","0","0","0","0","0","0","0","1","0","1","1","3","0","3"
"Light Trucks","Toyota Group","Toyota","10913","12958","18385","11725","10522","13557","78060","13719","11081","12732","9730","12612","10356","70230","0","148290"
"","","Daihatsu","31","22","42","23","22","24","164","26","23","21","37","24","32","163","0","327"
"","","Hino","625","788","1245","468","561","951","4638","862","861","1031","831","910","1029","5524","0","10162"
"","Renault-Nissan Alliance","Nissan","3539","4459","6769","2508","2784","3798","23857","3845","3285","3796","2863","3898","2965","20652","0","44509"
"","Daimler Group (-2021)","Mitsubishi Fuso (2004-21)","815","1077","2085","985","1122","1599","7683","1220","1074","1299","704","557","865","5719","0","13402"
"","Mazda","Mazda","456","556","814","430","426","462","3144","494","385","506","485","375","297","2542","0","5686"
"","Mitsubishi","Mitsubishi","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1"
"","Isuzu","Isuzu","664","946","1485","591","699","888","5273","858","870","881","369","301","274","3553","0","8826"
"","","UD Trucks (2021-)","11","5","9","5","7","5","42","3","3","18","8","9","7","48","0","90"
"Trucks","VW Group","VW","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","2"
"","","Scania (TRATON)","15","30","44","18","25","25","157","27","18","24","22","27","33","151","0","308"
"","Toyota Group","Toyota","1996","2264","3381","2151","1999","2137","13928","1991","1723","1923","1608","1885","1701","10831","0","24759"
"","","Hino","3261","4117","6470","2932","3332","4483","24595","3878","4043","4732","3538","3924","3616","23731","0","48326"
"","Renault-Nissan Alliance","Nissan","215","368","606","191","106","184","1670","206","207","144","126","235","210","1128","0","2798"
"","Stellantis","Jeep (2021-)","3","1","1","3","2","0","10","2","5","0","3","2","1","13","0","23"
"","","Dodge (2021-)","0","2","2","0","0","1","5","0","0","0","1","1","0","2","0","7"
"","","Chrysler (2021-)","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1"
"","","Citroen (2021-)","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","2"
"","GM Group","Chevrolet","2","3","6","10","7","16","44","8","12","11","11","11","8","61","0","105"
"","","GMC","1","3","9","8","6","2","29","9","3","2","2","6","2","24","0","53"
"","","Cadillac","0","0","4","3","0","1","8","2","1","2","0","1","0","6","0","14"
"","","Hummer","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1"
"","Ford Group","Ford","4","11","18","10","8","8","59","13","12","10","9","6","13","63","0","122"
"","Daimler Group (-2021)","Mercedes-Benz (-2021)","4","4","4","1","1","3","17","1","4","2","1","2","7","17","0","34"
"","","Mitsubishi Fuso (2004-21)","916","1247","2166","1264","1254","1792","8639","1416","1445","1464","1306","1142","1137","7910","0","16549"
"","Mazda","Mazda","23","30","37","26","20","37","173","31","31","32","21","34","26","175","0","348"
"","Mitsubishi","Mitsubishi","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","2"
"","Tata Group","Land Rover (2008-)","2","1","1","0","0","2","6","2","0","0","1","1","1","5","0","11"
"","Isuzu","Isuzu","3981","5149","8229","3171","3862","5050","29442","4594","4480","5473","3094","3282","3202","24125","0","53567"
"","","UD Trucks (2021-)","273","466","964","389","470","726","3288","489","609","643","619","620","798","3778","0","7066"
"","Volvo Trucks Group","Volvo Trucks","20","17","38","29","36","33","173","30","33","47","31","23","22","186","0","359"
"","Small and Medium OEM","Streetscooter","0","23","14","0","1","0","38","0","0","0","0","0","0","0","0","38"
"Buses","VW Group","Scania (TRATON)","0","0","1","0","0","2","3","2","2","2","0","0","0","6","0","9"
"","Toyota Group","Toyota","165","244","544","281","218","239","1691","238","298","221","233","230","249","1469","0","3160"
"","","Hino","124","229","392","63","38","57","903","69","89","156","118","67","120","619","0","1522"
"","Renault-Nissan Alliance","Nissan","36","45","169","23","16","47","336","30","36","19","7","6","10","108","0","444"
"","Hyundai Kia Automotive Group","Hyundai","0","0","0","0","1","0","1","0","2","5","2","1","0","10","0","11"
"","Daimler Group (-2021)","Mercedes-Benz (-2021)","0","4","9","0","0","0","13","2","0","0","0","0","0","2","0","15"
"","","Mitsubishi Fuso (2004-21)","26","84","230","60","71","128","599","97","115","43","60","64","73","452","0","1051"
"","Isuzu","Isuzu","65","100","185","21","13","15","399","33","36","83","56","18","43","269","0","668"
